Nama Pantai,Provinsi,Rating Angka,Link Google Maps,Latitude,Longitude,Predikat,Jumlah Ulasan,Ulasan 1,Ulasan 2,Ulasan 3,Ulasan 4,Ulasan 5,Kategori Pantai,Kategori 1,Kategori 2,Kategori 3,Kategori 4,Kategori 5
Pantai Sawadi Kuma,Papua Tengah,5.0,https://www.google.com/maps/place/Pantai+Sawadi+Kuma/data=!4m7!3m6!1s0x681fab006b7c5db7:0x95d079167872565f!8m2!3d-3.1985533!4d135.5945126!16s%2Fg%2F11yyc4cmhf!19sChIJt118awCrH2gRX1ZyeBZ50JU?authuser=0&hl=en&rclk=1,-3.1985533,135.5945126,bagus,0.0,mustakdir mustakdir 18 photos,,,,,,,,,,
Pantai Wisata Marthen Waray,Papua Tengah,5.0,https://www.google.com/maps/place/Pantai+Wisata+Marthen+Waray/data=!4m7!3m6!1s0x681fa9aca12b828b:0x1ddf44753c97718c!8m2!3d-3.2473512!4d135.5644125!16s%2Fg%2F11ngnpy9ck!19sChIJi4IroaypH2gRjHGXPHVE3x0?authuser=0&hl=en&rclk=1,-3.2473512,135.5644125,bagus,3.0,SIBELA MOUNTAIN SILVA 2 reviews,Kimitius Nepurs 7 photos,,,,,,,,,
Pantai okomo,Papua Tengah,5.0,https://www.google.com/maps/place/Pantai+okomo/data=!4m7!3m6!1s0x68222900343b24c1:0xc12f52dbd356733d!8m2!3d-4.0322229!4d136.2617695!16s%2Fg%2F11y9s2hcg9!19sChIJwSQ7NAApImgRPXNW09tSL8E?authuser=0&hl=en&rclk=1,-4.0322229,136.2617695,bagus,2.0,Pekei Black 1 review · 3 photos,Simon Pekei 11 photos,,,,,,,,,
Pantai Aurora Sangari,Papua Tengah,5.0,https://www.google.com/maps/place/Pantai+Aurora+Sangari/data=!4m7!3m6!1s0x681fa9ffe2aafdbd:0xdc05d344a5a56312!8m2!3d-3.2477061!4d135.5637621!16s%2Fg%2F11kq4jb8rm!19sChIJvf2q4v-pH2gREmOlpUTTBdw?authuser=0&hl=en&rclk=1,-3.2477061,135.5637621,bagus,3.0,Anonymous 007 1 review · 11 photos,Morin Elga 1 review · 7 photos,Sarahshela Sangari 3 photos,,,,,,,,
Pantai Riki,Papua Tengah,5.0,https://www.google.com/maps/place/Pantai+Riki/data=!4m7!3m6!1s0x681fa9a4c62416e5:0xaebca8cbfafae86c!8m2!3d-3.2403545!4d135.5697337!16s%2Fg%2F11v3pgcrpl!19sChIJ5RYkxqSpH2gRbOj6-suovK4?authuser=0&hl=en&rclk=1,-3.2403545,135.5697337,bagus,9.0,white sand 3,cool beach 2,clear water 2,sand 4,Selfi Menanti 2 reviews · 14 photos,,,,,,
Pantai Malaworsai,Papua Barat Daya,5.0,https://www.google.com/maps/place/Pantai+Malaworsai/data=!4m7!3m6!1s0x2d590b00774adc4b:0xa2d543646b99a3a7!8m2!3d-0.6437203!4d131.9175394!16s%2Fg%2F11m6v2pf3c!19sChIJS9xKdwALWS0Rp6OZa2RD1aI?authuser=0&hl=en&rclk=1,-0.6437203,131.9175394,bagus,2.0,Mohammad Syaban 2 reviews · 27 photos,,,,,,,,,,
Pantai SOA ( Hiu Paus,Papua Tengah,5.0,https://www.google.com/maps/place/Pantai+SOA+%28+Hiu+Paus/data=!4m7!3m6!1s0x681fdf007ca711c1:0xdead90dd4366f39d!8m2!3d-3.3399267!4d135.017021!16s%2Fg%2F11y5vhlvym!19sChIJwRGnfADfH2gRnfNmQ92Qrd4?authuser=0&hl=en&rclk=1,-3.3399267,135.017021,bagus,2.0,,,,,,,,,,,
Pantai Timuka,Papua Tengah,5.0,https://www.google.com/maps/place/Pantai+Timuka/data=!4m7!3m6!1s0x68247314ba5753db:0x2d23f3ead2eebb!8m2!3d-4.78465!4d136.5380231!16s%2Fg%2F11spdd78px!19sChIJ21NXuhRzJGgRu-7S6vMjLQA?authuser=0&hl=en&rclk=1,-4.78465,136.5380231,bagus,0.0,,,,,,,,,,,
Pantai Dallson,Papua Tengah,5.0,https://www.google.com/maps/place/Pantai+Dallson/data=!4m7!3m6!1s0x681fa90021ac67dd:0xed9e420b2ac5245a!8m2!3d-3.2085654!4d135.5905614!16s%2Fg%2F11vxcrxfjl!19sChIJ3WesIQCpH2gRWiTFKgtCnu0?authuser=0&hl=en&rclk=1,-3.2085654,135.5905614,bagus,0.0,onaratus mote 2 photos,,,,,,,,,,
PANTAI SEMBOR,Papua Tengah,5.0,https://www.google.com/maps/place/PANTAI+SEMBOR/data=!4m7!3m6!1s0x681fa3006ce01655:0x450f3dca0f1c7530!8m2!3d-3.3686582!4d135.4810384!16s%2Fg%2F11w8qg1nrp!19sChIJVRbgbACjH2gRMHUcD8o9D0U?authuser=0&hl=en&rclk=1,-3.3686582,135.4810384,bagus,2.0,,,,,,,,,,,
