Nama Pantai,Provinsi,Rating Angka,Predikat,Link Google Maps,Latitude,Longitude
Lampuuk Beach,Aceh,4.6,sangat bagus,https://www.google.com/maps/place/Lampuuk+Beach/data=!4m7!3m6!1s0x30403b320c058633:0x8f29a799e8866618!8m2!3d5.4854715!4d95.2264699!16s%2Fg%2F11b7q0gwyq!19sChIJM4YFDDI7QDARGGaG6JmnKY8?authuser=0&hl=en&rclk=1,5.4854715,95.2264699
"Pasir Putih Beach, Lhok Mee",Aceh,4.4,sangat bagus,"https://www.google.com/maps/place/Pasir+Putih+Beach,+Lhok+Mee/data=!4m7!3m6!1s0x30404e0f4820b1b1:0xbdb15f8c9233af96!8m2!3d5.6137342!4d95.5501536!16s%2Fg%2F11c5h1zt_g!19sChIJsbEgSA9OQDARlq8zkoxfsb0?authuser=0&hl=en&rclk=1",5.6137342,95.5501536
Lange Beach,Aceh,4.5,sangat bagus,https://www.google.com/maps/place/Lange+Beach/data=!4m7!3m6!1s0x3040253dfe56cb2d:0xbbb01f23edadb35e!8m2!3d5.5129946!4d95.2060781!16s%2Fg%2F1q2wcxdb2!19sChIJLctW_j0lQDARXrOt7SMfsLs?authuser=0&hl=en&rclk=1,5.5129946,95.2060781
Pantai Alue Naga,Aceh,4.3,sangat bagus,https://www.google.com/maps/place/Pantai+Alue+Naga/data=!4m7!3m6!1s0x3040368c15da7797:0xafef920eea73e6b6!8m2!3d5.6044872!4d95.3458568!16s%2Fg%2F11cn7bs61r!19sChIJl3faFYw2QDARtuZz6g6S768?authuser=0&hl=en&rclk=1,5.6044872,95.3458568
Lhoknga Beach,Aceh,4.5,sangat bagus,https://www.google.com/maps/place/Lhoknga+Beach/data=!4m7!3m6!1s0x30403b5ea7556f7f:0xfe218df799c4f6b6!8m2!3d5.4643339!4d95.2418239!16s%2Fg%2F11b7q1591k!19sChIJf29Vp147QDARtvbEmfeNIf4?authuser=0&hl=en&rclk=1,5.4643339,95.2418239
Ulee Lheue Beach,Aceh,4.4,sangat bagus,https://www.google.com/maps/place/Ulee+Lheue+Beach/data=!4m7!3m6!1s0x304030eb48882ffb:0x3ab153b2c7c6f86e!8m2!3d5.5597522!4d95.2852583!16s%2Fg%2F11b6gldcxr!19sChIJ-y-ISOswQDARbvjGx7JTsTo?authuser=0&hl=en&rclk=1,5.5597522,95.2852583
Lhok Mata Ie Beach,Aceh,4.6,sangat bagus,https://www.google.com/maps/place/Lhok+Mata+Ie+Beach/data=!4m7!3m6!1s0x30402fd7e1489e5f:0x56f5a220b71118ec!8m2!3d5.5709758!4d95.2263979!16s%2Fg%2F11bccgj6wg!19sChIJX55I4dcvQDAR7BgRtyCi9VY?authuser=0&hl=en&rclk=1,5.5709758,95.2263979
Pantai Syiah Kuala,Aceh,4.3,sangat bagus,https://www.google.com/maps/place/Pantai+Syiah+Kuala/data=!4m7!3m6!1s0x304036c26874f7d7:0x6ef01c6757b51593!8m2!3d5.5934193!4d95.3299497!16s%2Fg%2F11c5fz3cf_!19sChIJ1_d0aMI2QDARkxW1V2cc8G4?authuser=0&hl=en&rclk=1,5.5934193,95.3299497
Pantai Ujung Karang,Aceh,4.3,sangat bagus,https://www.google.com/maps/place/Pantai+Ujung+Karang/data=!4m7!3m6!1s0x303ec1610e3b2cfb:0x42d911917522f947!8m2!3d4.124597!4d96.1279608!16s%2Fg%2F11bw2fx6l_!19sChIJ-yw7DmHBPjARR_kidZER2UI?authuser=0&hl=en&rclk=1,4.124597,96.1279608
Lhokseudu Beach,Aceh,4.3,sangat bagus,https://www.google.com/maps/place/Lhokseudu+Beach/data=!4m7!3m6!1s0x304017ec04f5735d:0xa6816bd398b9186b!8m2!3d5.3541119!4d95.2406723!16s%2Fg%2F11f040pm35!19sChIJXXP1BOwXQDARaxi5mNNrgaY?authuser=0&hl=en&rclk=1,5.3541119,95.2406723
